=======================================================================================
                            TOP-5000 САМЫХ ЧАСТЫХ СЛОВ
                            Сортировка: По_частоте
=======================================================================================

Режим: Все файлы
Файл: Папка SourceTexts
Дата: Dec 10 2025 15:20:06

-----------------------------------------------------------------------------------------------------------------------
  №   Слово                 Частота     Документы
129   эти                        90   voyna-i-mir-tom-1.txt
130   лошадь                     89   voyna-i-mir-tom-1.txt
131   между                      87   voyna-i-mir-tom-1.txt
132   всегда                     86   voyna-i-mir-tom-1.txt
133   михайловна                 86   voyna-i-mir-tom-1.txt
134   своей                      86   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
135   друг                       85   voyna-i-mir-tom-1.txt
136   надо                       85   voyna-i-mir-tom-1.txt
137   там                        85   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
138   знаю                       84   voyna-i-mir-tom-1.txt
139   своего                     84   voyna-i-mir-tom-1.txt
140   солдат                     83   voyna-i-mir-tom-1.txt
141   без                        82   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
142   отвечал                    82   voyna-i-mir-tom-1.txt
143   борис                      81   voyna-i-mir-tom-1.txt
144   видимо                     81   voyna-i-mir-tom-1.txt
145   им                         81   voyna-i-mir-tom-1.txt
146   людей                      81   voyna-i-mir-tom-1.txt, Пушкин_Пророк.txt
147   своим                      81   voyna-i-mir-tom-1.txt
148   потому                     80   voyna-i-mir-tom-1.txt
149   спросил                    80   voyna-i-mir-tom-1.txt
150   два                        79   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
151   над                        79   voyna-i-mir-tom-1.txt
152   ней                        79   voyna-i-mir-tom-1.txt
153   через                      79   voyna-i-mir-tom-1.txt
154   офицер                     77   voyna-i-mir-tom-1.txt
155   пьера                      77   voyna-i-mir-tom-1.txt
156   которое                    76   voyna-i-mir-tom-1.txt
157   которой                    76   voyna-i-mir-tom-1.txt
158   кто                        76   voyna-i-mir-tom-1.txt
159   нее                        76   voyna-i-mir-tom-1.txt
160   про                        75   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
161   человека                   75   voyna-i-mir-tom-1.txt
162   эту                        75   voyna-i-mir-tom-1.txt
163   les                        74   voyna-i-mir-tom-1.txt
164   голову                     74   voyna-i-mir-tom-1.txt
165   этих                       74   voyna-i-mir-tom-1.txt
166   ne                         72   voyna-i-mir-tom-1.txt
167   думал                      72   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
168   князю                      72   voyna-i-mir-tom-1.txt
169   улыбаясь                   72   voyna-i-mir-tom-1.txt
170   говорила                   71   voyna-i-mir-tom-1.txt
171   тебе                       71   voyna-i-mir-tom-1.txt
172   вперед                     70   voyna-i-mir-tom-1.txt
173   потом                      70   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
174   этой                       70   voyna-i-mir-tom-1.txt
175   минуту                     69   voyna-i-mir-tom-1.txt
176   видел                      67   voyna-i-mir-tom-1.txt
177   графа                      67   voyna-i-mir-tom-1.txt
178   есть                       67   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
179   здесь                      67   voyna-i-mir-tom-1.txt
180   казалось                   67   voyna-i-mir-tom-1.txt
181   больше                     66   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
182   марья                      66   voyna-i-mir-tom-1.txt
183   знал                       65   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
184   несмотря                   65   voyna-i-mir-tom-1.txt
185   павловна                   65   voyna-i-mir-tom-1.txt
186   слова                      65   voyna-i-mir-tom-1.txt
187   улыбкой                    65   voyna-i-mir-tom-1.txt
188   pas                        64   voyna-i-mir-tom-1.txt
189   войска                     64   voyna-i-mir-tom-1.txt
190   которая                    64   voyna-i-mir-tom-1.txt
191   лице                       64   voyna-i-mir-tom-1.txt
192   bourienne                  63   voyna-i-mir-tom-1.txt
193   впереди                    63   voyna-i-mir-tom-1.txt
194   говорить                   63   voyna-i-mir-tom-1.txt
195   которого                   63   voyna-i-mir-tom-1.txt
196   нему                       63   voyna-i-mir-tom-1.txt
197   нужно                      63   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
198   этом                       63   voyna-i-mir-tom-1.txt
199   mlle                       62   voyna-i-mir-tom-1.txt
200   вместе                     62   voyna-i-mir-tom-1.txt
201   голос                      62   voyna-i-mir-tom-1.txt
202   даже                       62   voyna-i-mir-tom-1.txt
203   день                       62   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
204   подумал                    62   voyna-i-mir-tom-1.txt
205   руки                       62   voyna-i-mir-tom-1.txt
206   всего                      61   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
207   которую                    61   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
208   могу                       61   voyna-i-mir-tom-1.txt
209   назад                      61   voyna-i-mir-tom-1.txt
210   об                         61   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
211   ma                         60   voyna-i-mir-tom-1.txt
212   графиня                    60   voyna-i-mir-tom-1.txt
213   лица                       60   voyna-i-mir-tom-1.txt
214   нас                        60   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
215   свое                       60   voyna-i-mir-tom-1.txt
216   обратился                  59   voyna-i-mir-tom-1.txt
217   солдаты                    59   voyna-i-mir-tom-1.txt
218   тоже                       59   voyna-i-mir-tom-1.txt
219   одно                       58   voyna-i-mir-tom-1.txt
220   стал                       58   voyna-i-mir-tom-1.txt
221   un                         57   voyna-i-mir-tom-1.txt
222   багратион                  57   voyna-i-mir-tom-1.txt
223   видно                      57   voyna-i-mir-tom-1.txt
224   наташа                     57   voyna-i-mir-tom-1.txt
225   них                        57   voyna-i-mir-tom-1.txt
226   подошел                    57   voyna-i-mir-tom-1.txt
227   прежде                     57   voyna-i-mir-tom-1.txt
228   свои                       57   voyna-i-mir-tom-1.txt
229   своих                      57   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
230   генерал                    56   voyna-i-mir-tom-1.txt
231   государя                   56   voyna-i-mir-tom-1.txt
232   долохов                    56   voyna-i-mir-tom-1.txt
233   никогда                    56   voyna-i-mir-tom-1.txt
234   сказать                    56   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
235   pour                       55   voyna-i-mir-tom-1.txt
236   хотел                      55   voyna-i-mir-tom-1.txt
237   чтоб                       55   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
238   болконский                 54   voyna-i-mir-tom-1.txt
239   всем                       54   voyna-i-mir-tom-1.txt
240   государь                   54   voyna-i-mir-tom-1.txt
241   денисов                    54   voyna-i-mir-tom-1.txt
242   милый                      54   voyna-i-mir-tom-1.txt
243   разговор                   54   voyna-i-mir-tom-1.txt
244   смотрел                    54   voyna-i-mir-tom-1.txt
245   тебя                       54   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
246   тут                        54   voyna-i-mir-tom-1.txt
247   письмо                     53   voyna-i-mir-tom-1.txt
248   проговорил                 53   voyna-i-mir-tom-1.txt
249   сын                        53   voyna-i-mir-tom-1.txt
250   cest                       52   voyna-i-mir-tom-1.txt
251   андрея                     52   voyna-i-mir-tom-1.txt
252   ах                         52   voyna-i-mir-tom-1.txt
253   глазами                    52   voyna-i-mir-tom-1.txt
254   тех                        52   voyna-i-mir-tom-1.txt
255   вышел                      51   voyna-i-mir-tom-1.txt
256   командир                   51   voyna-i-mir-tom-1.txt
257   одна                       51   voyna-i-mir-tom-1.txt
258   продолжал                  51   voyna-i-mir-tom-1.txt
259   уж                         51   voyna-i-mir-tom-1.txt
260   ce                         50   voyna-i-mir-tom-1.txt
261   ж                          50   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
262   закричал                   50   voyna-i-mir-tom-1.txt
263   кутузова                   50   voyna-i-mir-tom-1.txt
264   одного                     50   voyna-i-mir-tom-1.txt
265   люди                       49   voyna-i-mir-tom-1.txt
266   особенно                   49   voyna-i-mir-tom-1.txt
267   ростова                    49   voyna-i-mir-tom-1.txt
268   французов                  49   voyna-i-mir-tom-1.txt
269   des                        48   voyna-i-mir-tom-1.txt
270   глядя                      48   voyna-i-mir-tom-1.txt
271   знаете                     48   voyna-i-mir-tom-1.txt
272   котором                    48   voyna-i-mir-tom-1.txt
273   кроме                      48   voyna-i-mir-tom-1.txt
274   нельзя                     48   voyna-i-mir-tom-1.txt
275   остановился                48   voyna-i-mir-tom-1.txt
276   против                     48   voyna-i-mir-tom-1.txt
277   прямо                      48   voyna-i-mir-tom-1.txt
278   армии                      47   voyna-i-mir-tom-1.txt
279   говорили                   47   voyna-i-mir-tom-1.txt
280   много                      47   voyna-i-mir-tom-1.txt
281   несвицкий                  47   voyna-i-mir-tom-1.txt
282   тот                        47   voyna-i-mir-tom-1.txt
283   элен                       47   voyna-i-mir-tom-1.txt
284   изза                       46   voyna-i-mir-tom-1.txt
285   которых                    46   voyna-i-mir-tom-1.txt
286   лошади                     46   voyna-i-mir-tom-1.txt
287   стоял                      46   voyna-i-mir-tom-1.txt
288   анатоль                    45   voyna-i-mir-tom-1.txt
289   двери                      45   voyna-i-mir-tom-1.txt
290   молодой                    45   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
291   обращаясь                  45   voyna-i-mir-tom-1.txt
292   тому                       45   voyna-i-mir-tom-1.txt
293   видеть                     44   voyna-i-mir-tom-1.txt
294   голосом                    44   voyna-i-mir-tom-1.txt
295   друга                      44   voyna-i-mir-tom-1.txt
296   мост                       44   voyna-i-mir-tom-1.txt
297   николай                    44   voyna-i-mir-tom-1.txt
298   соня                       44   voyna-i-mir-tom-1.txt
299   est                        43   voyna-i-mir-tom-1.txt
300   il                         43   voyna-i-mir-tom-1.txt
301   qui                        43   voyna-i-mir-tom-1.txt
302   бог                        43   voyna-i-mir-tom-1.txt
303   выражение                  43   voyna-i-mir-tom-1.txt
304   комнату                    43   voyna-i-mir-tom-1.txt
305   мимо                       43   voyna-i-mir-tom-1.txt
306   можно                      43   voyna-i-mir-tom-1.txt
307   нынче                      43   voyna-i-mir-tom-1.txt
308   около                      43   voyna-i-mir-tom-1.txt
309   совершенно                 43   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
310   той                        43   voyna-i-mir-tom-1.txt
311   хотя                       43   voyna-i-mir-tom-1.txt
312   всю                        42   voyna-i-mir-tom-1.txt
313   голоса                     42   voyna-i-mir-tom-1.txt
314   двух                       42   voyna-i-mir-tom-1.txt
315   должен                     42   voyna-i-mir-tom-1.txt
316   лицом                      42   voyna-i-mir-tom-1.txt
317   нем                        42   voyna-i-mir-tom-1.txt
318   очевидно                   42   voyna-i-mir-tom-1.txt
319   полковой                   42   voyna-i-mir-tom-1.txt
320   сидел                      42   voyna-i-mir-tom-1.txt
321   собой                      42   voyna-i-mir-tom-1.txt
322   этим                       42   voyna-i-mir-tom-1.txt
323   chere                      41   voyna-i-mir-tom-1.txt
324   бонапарте                  41   voyna-i-mir-tom-1.txt
325   делать                     41   voyna-i-mir-tom-1.txt
326   знает                      41   voyna-i-mir-tom-1.txt
327   княжны                     41   voyna-i-mir-tom-1.txt
328   маленькая                  41   voyna-i-mir-tom-1.txt
329   моя                        41   voyna-i-mir-tom-1.txt
330   полк                       41   voyna-i-mir-tom-1.txt
331   пьеру                      41   voyna-i-mir-tom-1.txt
332   ту                         41   voyna-i-mir-tom-1.txt
333   выражением                 40   voyna-i-mir-tom-1.txt
